record_num,name,href,resource,publish_time,database,record_time
1,'耕地细碎化的评价、效应及整治研究——基于曲周县的实证分析';,/kns/detail/detail.aspx?QueryID=8&CurRec=1&FileName=1015583088.nh&DbName=CDFDLAST2015&DbCode=CDFD&pr=,中国农业大学,2015-05-01,博士,Tue Jan 10 23:22:03 2017,
2,'基于碳循环的黄淮海平原耕地固碳功能研究';,/kns/detail/detail.aspx?QueryID=8&CurRec=2&FileName=ZRZY201606004&DbName=CJFDLAST2016&DbCode=CJFQ&pr=,资源科学,2016-06-15,期刊,Tue Jan 10 23:22:03 2017,
3,'黄淮海平原城镇化对耕地变化影响的差异性分析';,/kns/detail/detail.aspx?QueryID=8&CurRec=3&FileName=NYGU201322001&DbName=CJFD2013&DbCode=CJFQ&pr=,农业工程学报,2013-11-15,期刊,Tue Jan 10 23:22:03 2017,
4,'黄淮海平原地下水危机下的耕地资源可持续利用';,/kns/detail/detail.aspx?QueryID=8&CurRec=4&FileName=ZTKX201405012&DbName=CJFD2014&DbCode=CJFQ&pr=,中国土地科学,2014-05-15,期刊,Tue Jan 10 23:22:03 2017,
5,'1990-2010年中国耕地变化对粮食生产潜力的影响';,/kns/detail/detail.aspx?QueryID=8&CurRec=5&FileName=DLXB201412004&DbName=CJFDLAST2015&DbCode=CJFQ&pr=,地理学报,2014-12-15,期刊,Tue Jan 10 23:22:03 2017,
6,'典型县域耕地肥力质量时空演变规律及驱动力分析';,/kns/detail/detail.aspx?QueryID=8&CurRec=6&FileName=1014223357.nh&DbName=CDFD1214&DbCode=CDFD&pr=,中国农业大学,2014-05-01,博士,Tue Jan 10 23:22:03 2017,
7,'高标准农田标准与建设路径研究——以黑龙江省富锦市为例';,/kns/detail/detail.aspx?QueryID=8&CurRec=7&FileName=1015500586.nh&DbName=CDFDLAST2015&DbCode=CDFD&pr=,中国农业大学,2014-11-01,博士,Tue Jan 10 23:22:03 2017,
8,'基于土地整治的耕地质量评价与提升研究';,/kns/detail/detail.aspx?QueryID=8&CurRec=8&FileName=1015385660.nh&DbName=CDFDLAST2015&DbCode=CDFD&pr=,中国地质大学(北京),2015-05-01,博士,Tue Jan 10 23:22:03 2017,
9,'20世纪80年代末以来中国土地利用变化的基本特征与空间格局';,/kns/detail/detail.aspx?QueryID=8&CurRec=9&FileName=DLXB201401002&DbName=CJFD2014&DbCode=CJFQ&pr=,地理学报,2014-01-15,期刊,Tue Jan 10 23:22:04 2017,
10,'近300年来中国传统农区历史耕地空间格局重建研究';,/kns/detail/detail.aspx?QueryID=8&CurRec=10&FileName=1016058048.nh&DbName=CMFD201602&DbCode=CMFD&pr=,南京大学,2014-05-01,硕士,Tue Jan 10 23:22:04 2017,
